有利差枚,前回ハマりG,狙い目
-1500枚以上,不問,0G
-2500～-1501枚,300G以上,0G
-2500～-1501枚,200～299G,50G
-2500～-1501枚,199G以下,80G
-2501枚,300G以上,0G
-2501枚,200～299G,50G
-2501枚,100～199G,80G
-2501枚,99G以下,100G
